"Model","Accuracy","Sensitivity","Specificity","Precision","F1_Score","AUC","Kappa"
"CART (Pruned)",0.603333333333333,0.538095238095238,0.755555555555556,0.837037037037037,0.655072463768116,0.646825396825397,0.237179487179487
"Random Forest",0.683333333333333,0.69047619047619,0.666666666666667,0.828571428571429,0.753246753246753,0.753624338624339,0.321428571428571
